site,year,month,value
CBA,1978,10,333.93
CBA,1978,11,336.51
CBA,1978,12,338.28
CBA,1979,1,340.01
CBA,1979,2,340.83
CBA,1979,3,341.71
CBA,1979,4,342.88
CBA,1979,5,342.59
CBA,1979,6,338.71
CBA,1979,7,332.47
CBA,1979,8,327.95
CBA,1979,9,331.15
CBA,1979,10,336.74
CBA,1979,11,339.04
CBA,1979,12,339.77
CBA,1980,1,341.04
CBA,1980,2,342.88
CBA,1980,3,344.02
CBA,1980,4,344.55
CBA,1980,5,344.91
CBA,1980,6,342.05
CBA,1980,7,334.67
CBA,1980,8,330.72
CBA,1980,9,332.69
CBA,1980,10,337.37
CBA,1980,11,340.83
CBA,1980,12,342.42
CBA,1981,1,344.12
CBA,1981,2,345.15
CBA,1981,3,345.85
CBA,1981,4,346.53
CBA,1981,5,345.62
CBA,1981,6,342.39
CBA,1981,7,336.00
CBA,1981,8,331.21
CBA,1981,9,334.25
CBA,1981,10,340.14
CBA,1981,11,342.72
CBA,1981,12,344.19
CBA,1982,1,345.72
CBA,1982,2,346.55
CBA,1982,3,347.45
CBA,1982,4,348.17
CBA,1982,5,347.39
CBA,1982,6,343.27
CBA,1982,7,335.72
CBA,1982,8,330.83
CBA,1982,9,333.00
CBA,1982,10,338.84
CBA,1982,11,342.39
CBA,1982,12,345.27
CBA,1983,1,346.86
CBA,1983,2,346.58
CBA,1983,3,346.61
CBA,1983,4,347.48
CBA,1983,5,347.43
CBA,1983,6,344.33
CBA,1983,7,337.25
CBA,1983,8,333.29
CBA,1983,9,337.91
CBA,1983,10,343.58
CBA,1983,11,346.04
CBA,1983,12,346.42
CBA,1984,1,347.82
CBA,1984,2,349.59
CBA,1984,3,349.32
CBA,1984,4,349.63
CBA,1984,5,349.65
CBA,1984,6,345.01
CBA,1984,7,339.72
CBA,1984,8,337.89
CBA,1984,9,339.95
CBA,1984,10,344.42
CBA,1984,11,347.89
CBA,1984,12,349.07
CBA,1985,1,349.12
CBA,1985,2,350.16
CBA,1985,3,351.77
CBA,1985,4,352.56
